1.20596 -0.973953 0.454038 1.10264
2.05599 -1.186 1.47801 2
2.78304 -0.155028 1.967 1.01692
2.64301 1.12699 1.40504 1.00717
1.74398 1.27195 0.350959 1.07499
1.03496 0.226036 -0.118972 2
-4.06697 0.560025 0.208048 1.07663
-3.91899 -0.820035 0.453034 0.988806
-2.87003 -1.47201 -0.0840111 2
-1.95399 -0.833012 -0.86199 0.99848
-2.04496 0.537984 -1.12404 0.944481
-3.13402 1.23099 -0.571 0.995111
-3.59505 2.58703 -0.606964 0.9545
-5.06399 1.35799 0.661047 4
-4.73199 2.57696 0.139013 0.982124
-0.805014 -1.59197 -1.50899 0.0492696
0.237998 -2.34899 -0.213979 -0.122449
3.66299 -0.356009 3.01403 1.44728
1.488 2.80301 -0.415993 6
-1.29205 -2.67602 -2.48795 -0.0929854
3.16102 1.91299 1.73698 0.0967678
-4.57903 -1.31504 1.01304 0.101187
-1.35704 0.987961 -1.68803 0.0921284
-3.18505 3.371 -1.07096 0.0924034
-5.27695 3.40101 0.288988 0.103995
-0.108009 -0.831001 -2.125 0.0609949
3.76704 -1.26499 3.41497 1
4.19598 0.412015 3.36702 1
-2.32596 -2.31703 -2.986 0.0457894
-0.482976 -2.82898 -3.36104 0.0457894
-1.46801 -3.70898 -1.90495 0.0457894
